NUMERO;CSP;IFSI;PROMO;SEXE;ANNEE;QUESTION1;QUESTION2;QUESTION3;QUESTION4;QUESTION5;QUESTION6;QUESTION7;QUESTION8;QUESTION9;QUESTIO10;QUESTIO11;QUESTION12;QUESTION13;QUESTION14;QUESTION15;QUESTION16;QUESTION17;QUESTION18;QUESTION19;QUESTION20;QUESTION21;QUESTION22;QUESTION23;QUESTION24;QUESTION25;QUESTION26;RANG;Meme place;Affinites;Habitude;Pas Bruit;Pratique;Plac restante;rester conc;;Decrocher;;;;;;;;
1;EI;BRU 1;2012/2015;F;1987;5;6;7;5;5;6;7;6;7;7;5;5;7;7;7;7;7;7;7;5;7;7;6;6;1;7;1;O;;;O;;;;;;;;;;;;;
2;EI;;;F;1993;7;5;5;4;4;5;6;7;5;7;4;4;6;7;4;4;4;6;7;5;5;7;7;4;5;5;1;O;;;O;;;;;;;;;;;;;
3;EI;;;F;1993;7;7;6;5;5;7;3;7;3;6;6;4;6;7;7;6;5;6;7;5;6;7;7;5;3;4;1;O;;;O;;;;;;;;;;;;;
4;EI;;;F;1986;4;7;6;2;2;7;1;7;2;7;1;3;6;6;2;2;2;5;7;3;1;6;6;2;1;6;1;O;;;O;;;;;;;;;;;;;
5;EI;;;F;1970;7;5;6;5;4;7;5;7;7;7;6;3;5;6;7;6;6;7;7;6;6;6;7;6;7;7;1;O;;;O;;;;;;;;;;;;;
6;EI;;;M;1965;7;7;7;5;5;6;7;7;5;6;3;5;7;7;6;5;5;7;6;5;2;6;6;5;7;5;1;O;;;;;;;;;;;;;;;;
7;EI;;;F;1990;6;5;4;4;4;6;4;5;5;5;4;5;6;5;5;4;4;6;6;5;5;6;6;4;5;5;2;N;;;;;O;;;;;;;;;;;
8;EI;;;F;1989;7;6;5;4;4;3;7;7;4;5;5;4;7;6;6;5;5;5;5;6;7;7;6;5;7;5;2;O;;;;O;;;;;;;;;;;;
9;EI;;;F;1993;7;5;4;3;5;6;7;4;7;7;7;3;5;5;5;3;6;6;7;4;5;4;5;3;6;4;2;O;;;O;O;;;;;;;;;;;;
10;EI;;;F;1992;6;6;7;4;4;5;7;7;5;6;3;4;6;6;6;4;4;5;7;5;7;7;6;5;4;6;2;N;;;;;O;;;;;;;;;;;
11;EI;;;F;1985;7;7;5;5;6;6;7;6;4;7;4;7;7;5;6;6;5;6;5;5;6;5;5;6;5;6;2;O;;;O;O;;;;;;;;;;;;
12;EI;;;F;1973;7;4;6;3;4;6;3;7;7;7;5;4;7;6;5;4;4;7;7;7;4;7;7;4;7;4;2;O;;;O;O;;O;;;;;;;;;;
13;EI;;;F;1981;7;5;5;5;4;5;5;5;3;7;4;4;7;7;5;4;4;5;5;5;5;5;7;4;4;5;2;O;;;O;;;;;;;;;;;;;
14;EI;;;F;1991;7;5;7;5;7;7;5;7;7;7;7;7;7;7;7;5;5;7;7;6;5;7;7;5;7;7;2;O;;;O;O;;;;;;;;;;;;
15;EI;;;F;1986;6;6;6;3;4;3;4;4;1;7;1;4;6;6;6;3;4;4;6;6;4;7;5;4;1;5;3;O;;;;O;;;;;;;;;;;;
16;EI;;;F;1991;7;7;6;5;6;6;5;7;7;7;6;5;6;7;6;5;6;5;7;5;6;7;6;5;6;6;3;O;O;;O;;;;;;;;;;;;;
17;EI;;;M;1991;6;7;7;6;5;7;7;7;6;6;7;5;6;7;7;6;5;6;7;6;7;6;6;7;7;7;3;N;;;;O;;;;;;;;;;;;
18;EI;;;F;1993;5;4;4;2;3;6;6;6;6;7;3;3;7;5;7;4;4;5;6;3;4;4;5;4;4;4;3;O;;;;O;;;;;;;;;;;;
19;EI;;;F;1988;6;4;5;3;2;5;7;7;6;5;4;2;5;5;6;4;4;6;6;5;6;5;5;5;6;6;3;O;;;;O;;;;;;;;;;;;
20;EI;;;F;1969;7;7;7;6;6;7;3;7;7;7;5;6;6;7;4;6;6;7;6;4;4;6;7;6;4;6;3;N;;;;O;;;;;;;;;;;;
21;EI;;;F;1980;7;7;6;7;4;7;7;7;7;7;7;4;7;7;4;7;6;7;7;1;6;7;7;7;7;6;3;N;O;;;O;;;;;;;;;;;;
22;EI;;;F;1992;6;7;7;5;5;6;7;7;5;6;4;5;6;7;7;5;5;6;7;7;7;7;7;5;6;5;3;O;;;;O;;O;;;;;;;;;;
23;EI;;;F;1978;6;6;6;4;4;6;7;7;6;6;5;4;6;6;6;4;4;6;6;4;4;6;6;4;6;5;3;O;;;;O;;;;;;;;;;;;
24;EI;;;F;1992;7;7;7;5;5;6;7;7;6;7;6;5;5;6;7;5;5;6;6;5;7;6;5;5;7;6;4;O;;O;;O;;;;;;;;;;;;
25;EI;;;F;1989;7;6;4;5;5;6;7;7;7;7;5;4;5;7;6;2;3;4;7;3;3;7;7;3;4;4;4;O;O;;;;;O;;;;;;;;;;
26;EI;;;F;1993;7;7;5;4;5;7;7;7;7;7;7;5;6;7;7;1;4;7;7;4;7;7;7;3;4;4;4;O;;;;O;;;;;;;;;;;;
27;EI;;;M;1991;5;3;5;3;3;6;6;5;5;5;4;2;4;3;5;3;3;4;6;4;6;5;5;4;3;4;4;N;;;;O;;;;;;;;;;;;
28;EI;;;M;1991;6;6;6;4;4;5;6;6;4;7;1;5;7;5;5;4;4;7;7;6;4;4;6;4;5;6;4;N;;;;;O;;;;;;;;;;;
29;EI;;;F;1976;7;6;4;4;4;6;4;6;7;5;2;3;6;6;5;3;3;7;6;4;4;4;5;4;4;3;4;O;;;;;;;;;;;;;;;;
30;EI;;;M;1992;2;7;7;5;7;4;7;7;5;7;1;7;2;6;7;5;4;5;7;4;5;6;7;5;1;4;4;N;;;;;O;;;;;;;;;;;
31;EI;;;F;1993;5;7;7;4;5;4;7;7;5;7;4;4;7;5;7;4;4;5;7;5;7;6;5;4;5;5;4;N;;;;;O;;;;;;;;;;;
32;EI;;;F;1978;5;6;6;2;2;6;7;6;4;4;5;2;5;5;5;3;5;5;6;6;7;6;6;4;6;5;4;N;;;;;;O;;;;;;;;;;
33;EI;;;F;1993;7;5;4;4;3;4;6;5;4;7;6;4;4;5;5;4;6;5;7;4;3;3;5;3;6;5;5;N;;;;;O;;;;;;;;;;;
34;EI;;;F;1992;7;5;7;4;1;5;7;7;7;4;6;3;5;5;3;3;3;6;6;5;2;4;6;2;6;2;5;N;O;;;;;;;;;;;;;;;
35;EI;;;F;1991;7;7;6;5;6;6;7;7;4;7;5;5;5;6;7;5;5;4;7;5;1;5;7;3;4;5;5;O;O;O;;O;;;;;;;;;;;;
36;EI;;;F;1991;7;6;6;5;5;7;7;6;3;7;3;5;7;7;6;5;5;6;7;7;5;7;7;6;6;6;5;O;O;;;O;;;;;;;;;;;;
37;EI;;;M;1985;7;3;4;6;5;5;7;6;4;7;1;5;7;5;6;6;6;6;6;5;6;5;6;6;4;6;5;N;;;;;O;;;;;;;;;;;
38;EI;;;M;1991;6;3;3;5;5;6;7;4;2;4;7;1;5;4;5;2;4;3;6;2;2;7;5;4;6;5;5;N;;;;;O;;;;;;;;;;;
39;EI;;;F;1990;5;7;7;4;3;1;4;7;4;7;1;3;3;4;7;4;4;4;7;3;4;5;5;4;2;4;5;O;O;O;;;;;;;;;;;;;;
40;EI;;;F;1990;6;6;5;3;5;5;6;5;5;5;2;5;6;5;5;3;3;5;6;4;5;5;5;4;4;5;5;O;O;;;O;;;;;;;;;;;;
41;EI;;;M;1992;6;6;7;4;5;5;3;6;2;5;1;3;5;5;6;4;4;6;7;5;3;5;5;3;3;6;5;O;;O;;;;;;;;;;;;;;
42;EI;;;F;1992;7;6;6;4;4;6;5;6;7;7;5;5;5;5;6;5;5;6;6;4;4;6;5;5;6;6;6;N;;;;;;;;;;;;;;;;
43;EI;;;F;1991;7;5;6;5;4;5;7;7;6;6;4;5;5;5;6;4;5;5;6;4;4;5;6;4;6;5;6;N;;;;;;;;;;;;;;;;
44;EI;;;F;1992;7;7;6;4;4;6;7;7;7;7;7;4;3;6;6;4;3;7;7;5;4;7;7;5;7;5;6;O;;O;;;;;;;;;;;;;;
45;EI;;;F;1990;7;7;5;3;2;2;7;7;4;4;1;2;1;3;5;3;3;7;7;4;4;4;4;3;2;4;6;O;;;;;;;;;;;;;;;;
46;EI;;;F;1991;7;6;6;4;5;6;4;6;5;5;5;4;6;6;6;4;5;5;6;5;4;5;6;4;5;5;6;O;;O;;;;;;;;;;;;;;
47;EI;;;F;1991;7;5;3;2;1;6;7;7;7;7;4;2;5;5;5;4;3;6;7;4;6;4;6;3;7;5;6;O;;;;;O;;;;;;;;;;;
48;EI;;;F;1978;6;5;5;5;3;7;7;7;7;6;4;3;5;5;6;5;5;6;7;6;4;5;7;5;5;5;6;O;;O;;;;;;;;;;;;;;
49;EI;;;F;1985;6;7;6;5;4;6;7;7;5;7;5;4;5;7;7;5;5;6;7;5;5;7;7;5;5;6;6;O;;O;;;;;;;;;;;;;;
50;EI;;;F;1972;5;7;7;5;4;6;7;7;5;6;3;3;4;5;5;4;4;6;6;5;6;5;7;5;5;5;6;O;;O;;O;;;;;;;;;;;;
51;EI;;;F;1983;7;7;7;4;3;7;7;7;4;7;4;3;3;5;6;4;4;3;5;4;4;6;7;4;7;7;7;N;;;;;;;;;;;;;;;;
52;EI;;;F;1990;7;5;5;4;4;4;4;6;6;5;5;2;3;4;6;5;4;3;6;4;6;5;7;5;7;5;7;O;;O;;;;;;;;;;;;;;
53;EI;;;M;1987;5;4;6;4;2;4;6;6;3;5;1;1;4;4;4;3;4;5;5;5;1;4;5;2;3;3;7;N;;;;;O;;;;;;;;;;;
54;EI;;;M;1989;6;5;6;4;3;1;7;4;1;5;5;1;7;2;5;3;3;2;6;6;5;2;4;2;4;5;7;N;;;;;O;;;;;;;;;;;
55;EI;;;F;1991;4;6;7;4;4;1;7;7;4;7;1;4;4;7;7;4;4;4;7;4;7;7;7;4;6;5;7;O;;;;;;;;;;;;;;;;
56;EI;;;F;1988;5;4;5;3;3;4;7;7;6;5;5;4;5;4;4;4;4;5;7;5;4;4;5;3;4;4;7;O;;O;;;;;;;;;;;;;;
57;EI;;;F;1990;7;2;6;1;1;7;4;5;4;3;1;1;1;1;1;4;1;4;5;3;1;1;4;1;3;1;7;O;;O;;;;;O;;;;;;;;;
58;EI;;;F;1992;7;6;4;2;5;4;6;6;4;6;3;5;7;5;7;4;4;4;6;2;1;4;7;4;5;7;7;N;;;;;O;;;;;;;;;;;
59;EI;;;F;1992;6;6;6;5;5;3;7;6;6;6;5;5;4;6;6;5;5;6;6;6;5;7;6;5;5;6;7;N;;;;;O;;;;;;;;;;;
60;EI;;;M;1990;6;7;5;7;6;5;6;4;5;7;6;5;7;5;6;6;5;5;7;3;6;7;6;6;4;6;8;O;O;;;;;;;;;;;;;;;
61;EI;;;M;1992;6;2;6;2;2;1;7;5;5;6;1;2;4;4;5;2;3;3;6;4;1;4;4;2;1;2;8;O;O;;;;;;;;;;;;;;;
62;EI;;;M;1991;5;7;6;6;7;5;6;7;7;7;5;7;7;7;7;6;6;6;7;5;6;6;7;6;5;6;8;O;O;;;;;;;;;;;;;;;
63;EI;;;M;1989;6;5;6;3;4;4;6;6;2;6;1;4;5;2;6;2;2;1;3;2;6;3;4;5;3;3;8;O;;;;O;;;;;;;;;;;;
64;EI;BRU 2;2011/2014;M;1974;7;7;7;4;4;4;4;7;1;7;1;1;7;7;7;5;5;7;7;7;1;7;7;4;1;4;1;O;;;;O;;;;;;;;;;;;
65;EI;;;M;1978;7;3;5;4;3;5;4;6;3;5;1;2;5;5;4;4;4;5;5;6;2;5;5;2;2;4;1;O;;;;O;;O;;;;;;;;;;
66;EI;;;F;1991;1;4;2;4;2;5;7;2;7;2;4;3;1;4;2;5;5;1;7;1;7;4;1;3;7;3;1;O;;;O;O;;;;;;;;;;;;
67;EI;;;M;1991;7;5;5;4;4;7;7;5;7;7;1;2;4;4;4;4;4;7;7;5;5;7;7;4;7;4;1;O;O;;;;;;;;;;;;;;;
68;EI;;;F;1992;7;6;6;5;7;6;6;6;4;7;4;6;7;6;7;5;5;6;5;6;6;6;6;6;3;6;1;O;;;;O;;;;;;;;;;;;
69;EI;;;F;1989;7;4;5;4;2;6;7;6;6;5;3;2;3;6;4;5;5;4;7;3;6;7;7;4;7;5;1;O;O;;;O;;;;;;;;;;;;
70;EI;;;F;1992;7;7;7;3;3;7;7;7;7;7;7;4;7;6;7;5;6;5;7;6;3;6;7;6;6;7;1;O;;;;O;;O;;;;;;;;;;
71;EI;;;F;1992;4;6;4;3;5;7;6;6;5;7;7;5;5;7;6;5;3;6;6;3;7;6;5;2;7;5;1;O;;;;;;O;;;;;;;;;;
72;EI;;;F;1984;7;6;6;2;3;2;4;5;1;3;3;2;2;2;4;3;3;3;4;1;5;2;2;5;7;3;2;O;;;;;;;;;;;;;;;;
73;EI;;;F;1991;4;7;4;4;5;7;7;7;4;6;1;1;1;7;7;7;6;7;7;4;7;7;7;4;1;4;2;O;;;;;;;;;;;;;;;;
74;EI;;;F;1991;6;7;6;5;1;6;7;6;6;7;4;1;4;6;5;3;3;7;7;4;2;7;7;2;6;4;2;O;;O;;;;;;;;;;;;;;
75;EI;;;F;1985;7;7;7;4;7;4;7;5;7;7;7;5;7;5;7;5;5;6;6;6;7;7;7;5;5;7;2;O;;;;O;;O;;;;;;;;;;
76;EI;;;F;1960;7;6;6;6;5;6;6;7;6;6;7;5;7;7;6;6;7;6;7;5;5;7;7;6;6;6;2;O;;;O;O;;;;;;;;;;;;
77;EI;;;F;1987;4;7;4;4;4;2;5;3;1;6;1;4;5;4;6;4;4;3;5;5;5;4;2;4;1;5;2;O;;O;;O;;;;;;;;;;;;
78;EI;;;F;1982;7;5;5;5;4;4;2;5;4;6;4;4;7;5;3;4;4;5;6;4;1;4;6;5;1;6;2;O;;;;;;;;;;;;;;;;
79;EI;;;F;1991;7;5;4;2;2;4;6;7;5;5;5;3;5;5;5;3;5;5;5;2;4;6;6;3;3;5;2;O;;;O;;;;;;;;;;;;;
80;EI;;;F;1991;7;6;6;4;3;3;5;7;6;5;6;3;7;6;7;5;4;3;7;6;2;6;6;5;7;5;3;O;;;;O;;;;;;;;;;;;
81;EI;;;F;1992;7;7;6;6;3;6;1;6;6;7;1;3;6;7;6;6;5;7;7;6;4;7;7;6;2;5;3;N;;;;O;;;;;;;;;;;;
82;EI;;;F;1987;7;7;7;4;2;7;1;5;5;7;1;1;5;7;7;4;4;7;5;4;5;7;7;4;5;5;3;O;;O;;;;;;;;;;;;;;
83;EI;;;F;1975;7;5;4;4;4;7;4;7;7;5;7;4;4;4;4;3;5;4;7;2;5;1;1;3;7;4;3;O;;;;O;;;;;;;;;;;;
84;EI;;;F;1990;7;6;4;5;4;7;3;6;7;6;5;4;6;4;4;5;5;5;5;4;4;4;5;4;3;4;3;O;;;;;O;O;;;;;;;;;;
85;EI;;;F;1992;7;6;5;4;4;5;6;5;4;6;4;4;6;5;5;5;4;6;6;4;3;6;6;6;6;6;3;O;O;;O;O;;;;;;;;;;;;
86;EI;;;F;1990;7;5;5;4;5;5;5;5;4;4;2;5;6;5;6;4;4;5;6;5;4;6;6;5;2;5;3;O;;O;;;;;;;;;;;;;;
87;EI;;;F;1991;7;7;5;5;6;5;7;4;6;7;3;6;4;7;6;5;5;4;6;4;7;7;7;4;5;6;3;N;O;;;O;;;;;;;;;;;;
88;EI;;;F;1992;7;5;5;4;3;6;5;5;5;6;4;2;4;3;3;3;2;3;4;5;2;5;5;2;2;3;4;O;;O;;;;;;;;;;;;;;
89;EI;;;F;1992;6;5;3;4;2;3;5;5;3;5;3;2;3;4;5;3;3;3;5;4;2;4;6;3;4;4;4;O;;;;O;;O;;;;;;;;;;
90;EI;;;F;1989;6;6;5;5;5;5;6;5;4;6;5;4;5;5;5;5;4;4;5;5;3;5;5;4;4;5;4;O;;O;;;;;;;;;;;;;;
91;EI;;;F;1990;7;7;6;6;4;4;7;6;1;5;1;2;2;7;5;4;4;5;6;4;2;5;4;4;2;5;4;O;;O;;;;;;;;;;;;;;
92;EI;;;F;1981;7;7;4;5;5;6;7;5;3;6;6;5;7;7;7;5;5;6;6;6;6;6;6;5;6;6;4;O;;;O;O;;;;;;;;;;;;
93;EI;;;F;1978;7;5;6;7;7;6;7;6;4;7;4;7;7;6;7;7;7;6;6;5;7;6;7;7;6;7;4;O;O;O;;O;;;;;;;;;;;;
94;EI;;;F;1967;7;7;5;5;4;6;7;5;6;6;7;5;5;5;6;6;6;5;6;6;5;5;5;5;5;5;4;O;;O;;;;;;;;;;;;;;
95;EI;;;F;1988;7;7;7;6;5;3;7;7;2;7;2;4;6;6;7;6;6;5;7;4;5;7;7;7;2;7;4;O;;O;;O;;;;;;;;;;;;
96;EI;;;F;1991;7;3;7;4;4;5;6;6;5;5;1;4;4;6;5;6;4;5;6;4;4;6;6;4;2;4;5;O;;O;;;;;;;;;;;;;;
97;EI;;;F;1990;7;6;7;4;4;7;7;7;1;7;2;2;7;7;7;6;6;2;1;6;7;7;7;5;1;6;5;O;;;;O;;;;;;;;;;;;
98;EI;;;F;1992;7;6;6;5;2;5;2;6;6;5;4;1;5;5;4;4;4;3;6;4;1;6;6;2;5;6;5;O;;O;;;;;;;;;;;;;;
99;EI;;;M;1991;7;5;5;5;7;7;7;7;7;7;1;5;4;4;6;4;4;5;7;6;4;6;6;4;1;6;5;O;;O;;;;;;;;;;;;;;
100;EI;;;F;1986;7;7;6;5;6;7;7;7;6;6;4;3;7;7;7;6;6;7;6;5;5;6;6;5;4;6;5;O;;;;O;;;;;;;;;;;;
101;EI;;;M;1983;7;7;7;5;5;4;7;7;2;7;4;4;7;4;7;6;6;6;7;4;4;7;4;4;4;7;5;O;;O;;;;;;;;;;;;;;
102;EI;;;F;;7;5;7;5;4;7;7;7;1;4;1;4;6;6;5;4;7;7;7;4;5;7;7;4;6;5;5;N;;;;;O;;;;;;;;;;;
103;EI;;;F;1989;7;7;4;5;3;4;7;6;6;7;4;2;7;7;5;4;4;5;6;4;1;6;6;4;7;5;6;N;;;;;;O;;;;;;;;;;
104;EI;;;F;1987;7;7;4;4;3;1;7;3;4;7;1;2;7;5;7;3;3;3;6;6;7;6;4;3;1;6;6;N;;;;;;O;;;;;;;;;;
105;EI;;;M;1990;6;6;6;5;5;4;7;6;5;7;6;5;7;5;6;4;5;5;6;4;6;6;6;6;5;6;6;O;O;;;;;;;;;;;;;;;
106;EI;;;F;1991;7;6;5;5;3;6;5;6;5;6;5;5;7;6;6;5;6;6;6;5;3;5;6;5;6;6;6;O;;O;;;;;;;;;;;;;;
107;EI;;;F;1992;7;6;6;5;5;4;6;6;3;7;1;5;6;6;6;5;5;4;5;4;5;5;6;6;6;7;6;O;;O;;;;;;;;;;;;;;
108;EI;;;F;1977;7;4;5;4;7;5;2;7;2;7;1;3;7;6;6;4;5;6;7;6;3;6;6;3;3;7;6;O;;;;O;;;;;;;;;;;;
109;EI;;;F;1982;7;4;5;5;2;1;7;7;4;6;3;1;7;6;4;4;4;6;6;5;2;6;6;4;6;5;6;N;;;;;O;;;;;;;;;;;
110;EI;;;F;1993;7;7;5;4;4;3;7;5;4;7;1;2;5;3;5;3;3;3;6;6;5;5;5;4;1;5;7;O;O;;;O;;;O;;;;;;;;;
111;EI;;;F;1992;7;6;4;6;7;5;7;4;2;6;2;4;6;5;7;6;6;5;6;4;7;6;5;4;1;5;7;O;O;O;;;;;;;;;;;;;;
112;EI;;;F;1991;7;6;3;5;1;4;2;5;1;7;2;1;7;4;6;2;4;2;6;1;6;4;2;1;1;7;7;O;;O;;;;;;;;;;;;;;
113;EI;;;F;1989;7;3;4;4;3;2;7;7;4;7;2;3;6;6;6;4;6;4;6;4;1;6;6;5;1;5;7;O;;O;;;;;;;;;;;;;;
114;EI;;;F;1990;7;5;6;3;4;5;7;6;4;5;2;1;4;6;5;1;4;4;6;3;1;5;7;3;4;3;7;O;;O;;;;;;;;;;;;;;
115;EI;;;F;1991;2;3;2;1;1;2;4;5;2;5;2;2;4;4;5;2;2;2;4;1;1;3;5;2;1;2;7;N;;;;;;;;;;;;;;;;
116;EI;;;F;1991;5;4;5;3;4;7;5;7;7;4;6;5;5;7;6;4;4;6;7;6;1;6;7;5;6;6;7;N;;;;;O;;;;;;;;;;;
117;EI;;;F;1990;7;5;5;4;4;4;7;5;5;5;3;3;5;5;5;4;4;4;5;5;5;6;5;4;5;4;8;O;O;;;;;;;;;;;;;;;
118;EI;;;F;1991;7;5;4;4;3;4;7;5;3;5;2;3;6;5;6;3;4;3;6;5;4;6;5;3;3;4;8;O;O;;;;O;;;;;;;;;;;
119;EI;;;F;1991;5;6;6;6;5;3;2;3;2;3;1;3;4;2;3;2;4;2;2;4;2;2;2;2;1;3;8;O;;;;;;;;;;;;;;;;
120;EI;;;F;1991;7;7;7;7;4;4;7;6;3;7;7;5;2;6;7;5;6;4;6;4;6;4;6;5;1;7;8;N;;;;;O;;;;;;;;;;;
121;EI;ERS 1;2012/2015;F;1990;7;7;6;5;4;3;7;7;7;6;3;3;3;5;6;5;5;5;7;4;4;5;7;4;7;4;1;O;;;;O;;;;;;;;;;;;
122;EI;;;F;1992;7;6;6;4;4;2;6;2;4;6;4;2;4;2;5;3;2;4;3;4;3;3;4;4;2;4;1;O;;;;;;;;;;;;;;;;
123;EI;;;F;1993;6;5;4;3;3;3;3;3;5;5;4;4;5;4;4;3;2;4;3;2;2;2;3;3;3;2;1;O;;;;O;;O;;;;;;;;;;
124;EI;;;F;1984;7;5;4;4;4;6;7;5;6;4;3;4;4;4;4;4;4;5;1;3;4;4;6;1;4;4;1;O;;;;O;;;;;;;;;;;;
125;EI;;;F;1988;7;6;5;4;3;5;7;7;5;7;5;2;7;6;6;4;4;7;7;7;5;5;7;1;5;4;1;O;;;;O;;;;;;;;;;;;
126;EI;;;F;1991;7;7;6;3;3;3;7;5;6;4;5;3;6;5;5;5;4;5;6;6;5;4;7;3;2;4;1;O;;O;;O;;O;;;;;;;;;;
127;EI;;;;;6;6;6;4;3;5;3;6;7;6;6;3;7;7;6;4;5;7;7;7;4;7;7;5;7;5;;;;;;;;;;;;;;;;;;
